"c_gen"	"p_inc"	"p_educ"	"ParentModel"	"ChildSpecComps"	"WJVA"	"Ravens"	"ChildNonSpecComps"	"PPVT54"	"ChildTotalUtts"	"ChildPropSpatial"	"ProgAlign"	"Spatials"	"NonSpatials"
1	87.5	18	7	9	8	44	23	88	7972	0.333333333	0	3	6
0	62.5	16	6	11	8	38	4	66	9329	0.818181818	0	9	2
0	100	18	15	18	11	55	9	96	6498	0.611111111	0	11	7
1	100	16	10	3	8	41	14	56	6303	0.333333333	1	1	2
1	62.5	16	4	2	8	40	3	82	4565	0	1	0	2
0	100	18	4	3	9	36	9	91	8240	0.666666667	0	2	1
0	62.5	16	2	10	10	48	11	107	6474	0.3	0	3	7
1	42.5	14	4	4	8	33	15	44	6400	0.25	1	1	3
1	100	16	2	20	11	43	19	76	8841	0.3	0	6	14
1	100	18	22	8	9	28	15	79	6726	0.5	1	4	4
0	100	18	3	25	8	49	20	79	7672	0.48	0	12	13
0	87.5	16	4	12	10	47	18	96	6261	0.583333333	0	7	5
0	42.5	16	9	7	5	41	11	91	5943	0.428571429	1	3	4
0	42.5	16	0	9	13	48	20	82	7653	0.222222222	1	2	7
0	25	18	6	19	11	51	14	120	8280	0.421052632	1	8	11
1	25	12	0	16	8	34	18	75	4938	0.5	1	8	8
0	42.5	18	2	18	11	49	20	84	7555	0.277777778	0	5	13
1	7.5	12	0	5	7	46	4	43	5379	0.6	1	3	2
0	25	14	2	0	7	43	1	21	3833	0	0	0	0
0	62.5	18	6	33	11	52	15	120	5474	0.242424242	1	8	25
1	42.5	16	4	10	9	40	4	72	4715	0.5	1	5	5
0	87.5	18	7	18	10	55	18	77	3071	0.722222222	1	13	5
1	25	10	5	5	7	32	18	61	7496	0.4	1	2	3
1	87.5	16	6	15	10	50	14	67	7736	0.6	1	9	6
0	100	18	18	38	11	58	37	74	10838	0.342105263	0	13	25
1	7.5	10	2	2	5	36	7	25	4057	0	0	0	2
0	25	18	3	7	9	43	1	72	2527	0.571428571	0	4	3
1	62.5	18	4	13	9	42	6	70	4865	0.538461538	0	7	6
0	100	14	4	2	9	51	5	73	5721	0.5	1	1	1
0	25	14	25	4	7	29	6	47	6243	0.25	0	1	3
0	87.5	18	2	13	10	51	3	92	4954	0.615384615	1	8	5
0	100	16	9	28	8	44	21	88	8787	0.607142857	1	17	11
0	87.5	16	6	28	11	46	14	49	7714	0.428571429	0	12	16
0	7.5	16	9	9	8	48	6	83	4778	0.666666667	0	6	3
1	62.5	16	11	13	9	49	6	67	7176	0.615384615	0	8	5
1	62.5	16	5	5	9	43	10	62	6101	0.8	0	4	1
0	62.5	14	3	5	10	50	20	78	5163	0.4	0	2	3
1	42.5	12	3	12	10	50	12	81	6865	0.583333333	1	7	5
0	62.5	16	13	18	13	52	7	67	4626	0.166666667	1	3	15
1	87.5	18	4	7	12	48	11	81	6123	0.571428571	1	4	3
1	100	18	2	13	9	47	8	79	4366	0.307692308	0	4	9
0	62.5	16	2	12	13	55	9	80	5289	0.416666667	0	5	7
