"ParentModel"	"ParentControl"	"ParentUtts3"	"ParentResponse"	"ChildSpecComps"	"ChildProd1"	"ChildProd2"	"p_iq"	"c_58_cwt"	"p_resp_mlu"
7	21	2795	"1"	9	0	1	104	1441	3.87295082
6	8	2602	"0"	11	1	7	113	974	3.551775148
15	18	5829	"0"	18	2	11	108	1139	4.332556785
10	10	4344	"0"	3	0	0	125	825	4.089005236
4	3	2410	"1"	2	1	1	95	968	4.584415584
4	1	3173	"0"	3	0	0	93	1196	3.454545455
2	7	2638	"0"	10	0	1	115	1446	3.841101695
4	3	1870	"1"	4	0	0	100	1067	4.125703565
2	3	2157	"1"	20	0	2	86	1443	3.976623377
22	11	2664	"0"	8	0	2	112	1129	4.476847291
3	2	3835	"0"	25	4	4	101	1257	3.188709677
4	9	2694	"0"	12	0	5	96	1278	3.944979367
9	14	3749	"0"	7	0	0	107	1311	5.162255466
0	5	2846	"0"	9	0	2	114	1412	4.141909814
6	12	3914	"1"	19	1	12	104	1508	4.872053872
0	1	865	"0"	16	0	2	92	1193	3.120253165
2	8	4196	"0"	18	1	11	108	1534	4.022222222
0	1	1284	"0"	5	0	3	106	840	4.14732965
2	0	1602	NA	0	NA	NA	100	664	2.996422182
6	11	3230	"1"	33	0	8	134	1328	5.42614601
4	4	3301	"1"	10	1	1	108	836	3.727915194
7	4	4859	"0"	18	1	1	123	859	3.996226415
5	4	2177	"0"	5	0	1	90	1167	3.058823529
6	5	1117	"1"	15	1	5	123	1131	4.285132383
18	25	5743	"1"	38	0	13	112	1431	4.32892874
2	0	471	"0"	2	1	NA	81	661	4.427350427
3	7	2985	"1"	7	1	5	120	574	4.355744681
4	6	2598	"1"	13	1	3	124	939	4.706896552
4	16	3200	"0"	2	0	1	114	964	4.540489642
25	23	5994	"1"	4	0	0	112	915	4.52948801
2	4	1759	"0"	13	0	2	117	1043	4.066787004
9	26	4511	"0"	28	1	3	117	1761	3.585662211
6	17	4135	"1"	28	0	10	102	1209	4.636730575
9	29	4089	"1"	9	0	5	110	992	4.609737828
11	16	4166	"0"	13	3	7	115	1459	4.314119171
5	12	3657	"0"	5	0	1	101	996	4.118421053
3	8	2844	"0"	5	2	3	75	1179	3.987912973
3	10	3698	"1"	12	1	4	107	1176	3.468122271
13	5	2714	"0"	18	4	12	104	847	4.685121107
4	1	4837	"1"	7	0	0	119	1116	4.073876618
2	3	1000	"0"	13	2	3	113	1027	3.540983607
2	8	2263	"0"	12	0	2	113	1090	4.489830508
